lucide_concept,lucide_imports,importing_files,component_files,docs_files,suggested_hugeicons,suggested_import_symbol,suggested_subpath_import,alternative_1,alternative_2,confidence,review_status,preferred_alternative,notes,locations
Check,Check | CheckIcon,16,14,2,check,CheckIcon,@hugeicons/core-free-icons/CheckIcon,check-unread-01,check-unread-02,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/components/layout/docs-do-dont.tsx | apps/docs/src/pages/input-group/index.tsx | packages/ui/src/components/attachment.tsx | packages/ui/src/components/chat-bubble.tsx | packages/ui/src/components/chat-head.tsx | packages/ui/src/components/checkbox.tsx | packages/ui/src/components/code.tsx | packages/ui/src/components/combobox.tsx | packages/ui/src/components/command.tsx | packages/ui/src/components/context-menu.tsx | packages/ui/src/components/dropdown-menu.tsx | packages/ui/src/components/filters.tsx | packages/ui/src/components/inline-edit.tsx | packages/ui/src/components/message.tsx | packages/ui/src/components/select.tsx | packages/ui/src/components/telephone-field.tsx
X,X | XIcon,11,10,1,x,XIcon,@hugeicons/core-free-icons/XIcon,x-line-top,x-ray,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/components/layout/docs-do-dont.tsx | packages/ui/src/components/alert.tsx | packages/ui/src/components/badge.tsx | packages/ui/src/components/combobox.tsx | packages/ui/src/components/dialog.tsx | packages/ui/src/components/dropdown-menu.tsx | packages/ui/src/components/filters.tsx | packages/ui/src/components/inline-edit.tsx | packages/ui/src/components/search.tsx | packages/ui/src/components/sheet.tsx | packages/ui/src/components/toast.tsx
ChevronRight,ChevronRight | ChevronRightIcon,10,9,1,chevron-right,ChevronRightIcon,@hugeicons/core-free-icons/ChevronRightIcon,circle-chevron-right,square-chevron-right,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/badge/index.tsx | packages/ui/src/components/activity-feed.tsx | packages/ui/src/components/breadcrumb.tsx | packages/ui/src/components/calendar.tsx | packages/ui/src/components/context-menu.tsx | packages/ui/src/components/data-table/data-table-pagination.tsx | packages/ui/src/components/dropdown-menu.tsx | packages/ui/src/components/file-tree.tsx | packages/ui/src/components/pagination.tsx | packages/ui/src/components/sidebar.tsx
MoreHorizontal,MoreHorizontal | MoreHorizontalIcon,9,7,2,more-horizontal,MoreHorizontalIcon,@hugeicons/core-free-icons/MoreHorizontalIcon,more-horizontal-circle-01,more-horizontal-square-01,high,,EllipsisIcon,Exact catalogue-name match; verify glyph,apps/docs/src/pages/input-group/index.tsx | apps/docs/src/pages/sortable-list/index.tsx | packages/ui/src/components/app-sidebar.tsx | packages/ui/src/components/breadcrumb.tsx | packages/ui/src/components/data-table/data-table-row-actions.tsx | packages/ui/src/components/metric-card.tsx | packages/ui/src/components/pagination.tsx | packages/ui/src/components/sidebar.tsx | packages/ui/src/components/tabs.tsx
ChevronDown,ChevronDown | ChevronDownIcon,8,6,2,chevron-down,ChevronDownIcon,@hugeicons/core-free-icons/ChevronDownIcon,circle-chevron-down,square-chevron-down,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/bubble/index.tsx | apps/docs/src/pages/button-group/index.tsx | packages/ui/src/components/button.tsx | packages/ui/src/components/calendar.tsx | packages/ui/src/components/combobox.tsx | packages/ui/src/components/native-select.tsx | packages/ui/src/components/select.tsx | packages/ui/src/components/table.tsx
Search,Search | SearchIcon,7,3,4,search-01,Search01Icon,@hugeicons/core-free-icons/Search01Icon,search-list-01,search-02,medium,,,Curated semantic match; verify glyph,apps/docs/src/pages/button-group/index.tsx | apps/docs/src/pages/input-group/index.tsx | apps/docs/src/pages/input/index.tsx | apps/docs/src/pages/marker/index.tsx | packages/ui/src/components/command.tsx | packages/ui/src/components/dropdown-menu.tsx | packages/ui/src/components/search.tsx
ArrowUp,ArrowUp | ArrowUpIcon,5,1,4,arrow-up-02,ArrowUp02Icon,@hugeicons/core-free-icons/ArrowUp02Icon,arrow-up-1-0,arrow-up-0-1,medium,,,Curated semantic match; verify glyph,apps/docs/src/pages/message-scroller/demos/anchoring-demo.tsx | apps/docs/src/pages/message-scroller/demos/animation-demo.tsx | apps/docs/src/pages/message-scroller/demos/context-demo.tsx | apps/docs/src/pages/message-scroller/demos/streaming-demo.tsx | packages/ui/src/components/data-table/data-table-column-header.tsx
Copy,Copy,5,3,2,copy,CopyIcon,@hugeicons/core-free-icons/CopyIcon,copy-01,copy-02,high,,Copy01Icon,Exact catalogue-name match; verify glyph,apps/docs/src/pages/input-group/index.tsx | apps/docs/src/pages/input/index.tsx | packages/ui/src/components/chat-bubble.tsx | packages/ui/src/components/code.tsx | packages/ui/src/components/message.tsx
Settings,Settings | SettingsIcon,5,0,5,settings-01,Settings01Icon,@hugeicons/core-free-icons/Settings01Icon,settings-error-01,settings-02,medium,,,Curated semantic match; verify glyph,apps/docs/src/pages/button/index.tsx | apps/docs/src/pages/command/index.tsx | apps/docs/src/pages/dropdown-menu/index.tsx | apps/docs/src/pages/sidebar/index.tsx | apps/docs/src/pages/structure/app-sidebar/demo.tsx
ChevronLeft,ChevronLeft | ChevronLeftIcon,4,4,0,chevron-left,ChevronLeftIcon,@hugeicons/core-free-icons/ChevronLeftIcon,circle-chevron-left,square-chevron-left,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/activity-feed.tsx | packages/ui/src/components/calendar.tsx | packages/ui/src/components/data-table/data-table-pagination.tsx | packages/ui/src/components/pagination.tsx
Home,Home,4,1,3,home-01,Home01Icon,@hugeicons/core-free-icons/Home01Icon,home-02,home-03,medium,,Home04Icon,Curated semantic match; verify glyph,apps/docs/src/components/layout/app-shell.tsx | apps/docs/src/pages/breadcrumb/index.tsx | apps/docs/src/pages/sidebar/index.tsx | packages/ui/src/components/header.tsx
Info,Info,4,4,0,info,InfoIcon,@hugeicons/core-free-icons/InfoIcon,badge-info,covid-info,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/alert.tsx | packages/ui/src/components/chat-bubble.tsx | packages/ui/src/components/message.tsx | packages/ui/src/components/toast.tsx
Minus,Minus | MinusIcon,4,3,1,minus,MinusIcon,@hugeicons/core-free-icons/MinusIcon,minus-plus-01,minus-plus-circle-01,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/button-group/index.tsx | packages/ui/src/components/checkbox.tsx | packages/ui/src/components/input-otp.tsx | packages/ui/src/components/number-field.tsx
