"lucide_import","kind","scope","file"
"AlertTriangle","runtime","components","packages/ui/src/components/alert.tsx"
"AlignCenter","runtime","docs","apps/docs/src/pages/toggle-group/index.tsx"
"AlignLeft","runtime","docs","apps/docs/src/pages/toggle-group/index.tsx"
"AlignRight","runtime","docs","apps/docs/src/pages/toggle-group/index.tsx"
"ArrowDown","runtime","components","packages/ui/src/components/data-table/data-table-column-header.tsx"
"ArrowDownIcon","runtime","components","packages/ui/src/components/message-scroller.tsx"
"ArrowDownWideNarrow","runtime","components","packages/ui/src/components/filters.tsx"
"ArrowUp","runtime","components","packages/ui/src/components/data-table/data-table-column-header.tsx"
"ArrowUpIcon","runtime","docs","apps/docs/src/pages/message-scroller/demos/anchoring-demo.tsx"
"ArrowUpIcon","runtime","docs","apps/docs/src/pages/message-scroller/demos/animation-demo.tsx"
"ArrowUpIcon","runtime","docs","apps/docs/src/pages/message-scroller/demos/context-demo.tsx"
"ArrowUpIcon","runtime","docs","apps/docs/src/pages/message-scroller/demos/streaming-demo.tsx"
"Bell","runtime","docs","apps/docs/src/pages/badge/index.tsx"
"Bold","runtime","docs","apps/docs/src/pages/toggle-group/index.tsx"
"Bold","runtime","docs","apps/docs/src/pages/toggle/index.tsx"
"Bookmark","runtime","docs","apps/docs/src/pages/toggle/index.tsx"
"Bookmark","runtime","components","packages/ui/src/components/reply-box/reply-box-actions.ts"
"BookmarkPlusIcon","runtime","docs","apps/docs/src/pages/tooltip/index.tsx"
"BookOpen","runtime","docs","apps/docs/src/pages/sidebar/index.tsx"
"BookOpenCheck","runtime","docs","apps/docs/src/pages/marker/index.tsx"
"Box","runtime","docs","apps/docs/src/pages/sidebar/index.tsx"
"Calculator","runtime","docs","apps/docs/src/pages/command/index.tsx"
"Calendar","runtime","docs","apps/docs/src/pages/command/index.tsx"
"CalendarIcon","runtime","components","packages/ui/src/components/date-picker.tsx"
"CalendarPlus","runtime","components","packages/ui/src/components/activity-feed.tsx"
"Check","runtime","docs","apps/docs/src/components/layout/docs-do-dont.tsx"
"Check","runtime","docs","apps/docs/src/pages/input-group/index.tsx"
"Check","runtime","components","packages/ui/src/components/attachment.tsx"
"Check","runtime","components","packages/ui/src/components/chat-bubble.tsx"
"Check","runtime","components","packages/ui/src/components/chat-head.tsx"
"Check","runtime","components","packages/ui/src/components/code.tsx"
"Check","runtime","components","packages/ui/src/components/filters.tsx"
